success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_any,inside_final,gmax_success,radius_success,sigma_success,no_collision,obs_collision,agent_collision,dwell_success,dwell_geom_success,dwell_success_no_collision,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,time_to_inside,time_to_gmax,time_to_radius,time_to_full_geom,success_hold_time,post_success_violation_count,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate,scene,method,seed,speed_scale,t_pred
False,14.4,-0.2683984880746092,0.42175832140620456,True,89.80825967048983,0.2101056329249202,0.19421993632133236,261.8328590419395,0.26240394781602466,2.0118667283471017,1.7460822155832445,1.7629925260797246,115.9636879658276,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9881332716528983,False,False,68.0,68.0,68.0,13.5,68.0,53.650000000000006,0,261.9978872888486,0.9848303161510518,0.0,e1_tracking_single_obstacle,M7,10,0.6,0.3
False,14.3,-0.26679457905827764,0.42093334931021137,True,89.33893174440797,0.20980118221666214,0.1928728875826598,261.72390333195824,0.2620389188632531,2.009697162852509,1.7432989630978206,1.759692752887349,115.30452284079915,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9903028371474911,False,False,68.0,68.0,68.0,13.4,68.0,53.75,0,261.9356684256714,0.9870718219898498,0.0,e1_tracking_single_obstacle,M7,11,0.6,0.3
False,14.350000000000001,-0.2761885678640442,0.42475034740823947,True,89.36043806020973,0.16429870149501763,0.19519960813127601,265.9595858004467,0.2679071853610229,1.9852152906679772,1.7134802458492726,1.7295275655323608,115.81373025093465,0,1.0,False,False,False,False,True,False,True,True,True,True,False,1.0147847093320228,False,False,68.0,68.0,68.0,13.450000000000001,68.0,53.7,0,266.4819386815108,1.0112154980546653,0.0,e1_tracking_single_obstacle,M7,12,0.6,0.3
False,14.350000000000001,-0.26731843281072,0.4229073098238212,True,88.89712426779589,0.15957428538210022,0.19458731325006123,265.54028033476,0.26707878341550984,1.9825154913904282,1.70974161438153,1.7252402189173388,115.09176355113527,0,1.0,False,False,False,False,True,False,True,True,True,True,False,1.0174845086095718,False,False,68.0,68.0,68.0,13.4,68.0,53.7,0,266.0627381847964,1.0140571958702735,0.0,e1_tracking_single_obstacle,M7,13,0.6,0.3
False,14.4,-0.45919979913542147,0.42993057450296035,True,89.37337895464096,0.34010030677002134,0.19532206710751898,261.8109680280978,0.26227163846433976,2.010913659393094,1.7448832101657157,1.7615573027303961,115.79460602386459,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9890863406069061,False,False,68.0,68.0,68.0,13.450000000000001,68.0,53.650000000000006,0,262.01847873491795,0.9857796979030491,0.0,e1_tracking_single_obstacle,M7,14,0.6,0.3
False,14.4,-0.2593173422904351,0.42220252413810994,True,89.72037576179541,0.16747882366669617,0.1961792799412197,261.5652796021373,0.26161368878635555,2.0074721379662344,1.7404005139399372,1.7562799400208144,115.75482532762065,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9925278620337656,False,False,68.0,68.0,68.0,13.5,68.0,53.650000000000006,0,261.79128062864214,0.9894208897000618,0.0,e1_tracking_single_obstacle,M7,15,0.6,0.3
False,14.350000000000001,-0.28108867564413587,0.42174806884421984,True,89.34165622282855,0.1677506894831361,0.19483223120254714,261.8798258386976,0.2624655256841783,2.011967146456131,1.7462486182079204,1.7631676227196966,115.97526650413396,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9880328535438689,False,False,68.0,68.0,68.0,13.450000000000001,68.0,53.7,0,262.07947314602245,0.9846670181840631,0.0,e1_tracking_single_obstacle,M7,16,0.6,0.3
False,14.450000000000001,-0.33298111850705603,0.41868421900793706,True,90.00384150133286,0.18178319729306988,0.19507714915503307,261.4872930939789,0.2613996738965058,2.0063202971228478,1.7389039357788123,1.7545139208614378,115.81706264484387,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9936797028771522,False,False,68.0,68.0,68.0,13.55,68.0,53.6,0,261.7284530733611,0.9906184281813278,0.0,e1_tracking_single_obstacle,M7,17,0.6,0.3
False,14.4,-0.2445201145191841,0.42389401885069483,True,89.27235201725746,0.17918067811728755,0.1947097722263042,265.7255826907854,0.2674446946436892,1.9837160379477787,1.7114034541924583,1.7271471829377665,115.40662712498512,0,1.0,False,False,False,False,True,False,True,True,True,True,False,1.0162839620522213,False,False,68.0,68.0,68.0,13.450000000000001,68.0,53.650000000000006,0,266.2436425026029,1.0128047193719427,0.0,e1_tracking_single_obstacle,M7,18,0.6,0.3
False,14.350000000000001,-0.24895988523418466,0.4213574034060597,True,89.7324518303589,0.22551094388876225,0.19311780553514574,261.83663648309835,0.2623632080813471,2.0114803996600883,1.745607317725627,1.7624176066309911,116.00625852466564,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9885196003399117,False,False,68.0,68.0,68.0,13.450000000000001,68.0,53.7,0,262.0294021683167,0.985199011587295,0.0,e1_tracking_single_obstacle,M7,19,0.6,0.3
