success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_any,inside_final,gmax_success,radius_success,sigma_success,no_collision,obs_collision,agent_collision,dwell_success,dwell_geom_success,dwell_success_no_collision,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,time_to_inside,time_to_gmax,time_to_radius,time_to_full_geom,success_hold_time,post_success_violation_count,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate,scene,method,seed,topo_rho_floor
False,17.85,0.9824435814714845,0.29878499524826074,True,92.32077666295635,738.4727243401526,0.027881814398668332,72.12758535557711,0.06911903881446718,0.625598463422076,0.006305097310879504,0.006305097310879504,124.05074150786169,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.174401536577924,False,False,24.1,23.6,24.1,20.55,40.0,22.200000000000003,0,72.29618371911458,2.1775164996479552,1.0,s4_narrow_passage_medium,M7,30,0.6
False,17.7,0.9817302769869307,0.29779913515159573,True,91.86795190383516,703.7588891506136,0.02267998335414066,71.98525632634559,0.07668464111045344,0.6193209038185642,0.00019712085282213058,0.00019712085282213058,123.55914932963594,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1806790961814357,False,False,23.950000000000003,23.55,23.950000000000003,20.35,40.0,22.35,0,72.26495097574298,2.1775321762757227,1.0,s4_narrow_passage_medium,M7,31,0.6
False,17.900000000000002,0.96402444990739,0.29544576672324596,True,91.81685351351531,702.0113899272053,0.028089887640449437,72.03419709768453,0.07668962868666902,0.6193173727810993,0.00010752480643074161,0.00010752480643074161,123.70006144546764,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1806826272189004,False,False,24.55,23.950000000000003,24.55,20.6,40.0,22.150000000000002,0,72.37750507585518,2.1775270843785175,1.0,s4_narrow_passage_medium,M7,32,0.6
False,18.0,0.9470821228102559,0.2976836362075322,True,92.29828202598583,734.7987118676984,0.028922180607573865,72.03297177165678,0.07667833232109748,0.6193259636698146,0.00022537914251594438,0.00022537914251594438,124.24529147843744,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1806740363301853,False,False,23.950000000000003,23.8,23.950000000000003,20.650000000000002,40.0,22.05,0,72.31937981617108,2.1775343541436323,1.0,s4_narrow_passage_medium,M7,33,0.6
False,17.85,0.9447930337827437,0.2958996063900885,True,91.63317402927464,673.714909958815,0.024760715771951727,72.09075277456432,0.06911502533109226,0.6256010632973238,0.006469095371993264,0.006469095371993264,123.30300569033588,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.174398936702676,False,False,24.400000000000002,23.900000000000002,24.400000000000002,20.5,40.0,22.200000000000003,0,72.34992195174048,2.177525761041912,1.0,s4_narrow_passage_medium,M7,34,0.6
False,17.85,0.9570701421237964,0.29685656879831723,True,92.01978138640345,748.2542212143795,0.0299625468164794,72.04110754510867,0.07670675408197909,0.6193034914127749,0.0001419111216998745,0.0001419111216998745,124.03256358302839,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.180696508587225,False,False,24.05,23.650000000000002,24.05,20.5,40.0,22.200000000000003,0,72.33073215197665,2.1775351110937744,1.0,s4_narrow_passage_medium,M7,35,0.6
False,17.95,0.9498265823693182,0.2975198649752668,True,91.91085502313763,724.0484124073548,0.02725759467332501,72.06429312672006,0.06907232486271406,0.6256417622578812,0.006217786234440195,0.006217786234440195,123.94324787061196,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1743582377421187,False,False,23.900000000000002,23.700000000000003,23.900000000000002,20.6,40.0,22.1,0,72.34175971354311,2.1775209154887225,1.0,s4_narrow_passage_medium,M7,36,0.6
False,17.900000000000002,0.9954248286853586,0.2978896032153243,True,91.98721579139865,704.4157944565652,0.02850603412401165,72.05840329799086,0.06907743485547561,0.6256371814482028,0.006464522342569282,0.006464522342569282,123.94913896062509,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.174362818551797,False,False,23.900000000000002,23.8,23.900000000000002,20.6,40.0,22.150000000000002,0,72.3254058912792,2.177520896001046,1.0,s4_narrow_passage_medium,M7,37,0.6
False,17.95,0.9836633329561952,0.2970692740860326,True,91.66097627125237,737.3531250061085,0.033083645443196,72.03812794981881,0.07667792273466374,0.6193267508171815,0.00016939136534144093,0.00016939136534144093,123.75355989528441,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1806732491828185,False,False,24.150000000000002,23.75,24.150000000000002,20.650000000000002,40.0,22.1,0,72.34206427386223,2.177535759062232,1.0,s4_narrow_passage_medium,M7,38,0.6
False,18.0,0.8980178035680126,0.329915312760939,True,92.43258243831986,749.0799545239747,0.03537245110278818,72.04978753228868,0.07668669753667896,0.619319649398642,0.00014946128463661605,0.00014946128463661605,124.35636388153631,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.180680350601358,False,False,23.650000000000002,23.650000000000002,23.650000000000002,20.650000000000002,40.0,22.05,0,72.38304044909364,2.1775238924153286,1.0,s4_narrow_passage_medium,M7,39,0.6
False,17.75,0.8676826914770437,0.3016258960857679,True,92.55303460948444,730.5067694275214,0.03474823137744486,72.07154485115663,0.07281542133931679,0.6413696251386392,0.006430909785860557,0.006430909785860557,124.05562768174276,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1586303748613607,False,False,23.950000000000003,23.450000000000003,23.950000000000003,20.400000000000002,40.0,22.3,0,72.34851213803957,2.161775705879303,1.0,s4_narrow_passage_medium,M7,10,0.65
False,17.85,0.9233850855833869,0.30154964880631957,True,91.79767945190939,770.209916043909,0.03058676654182272,72.00709116531961,0.0728112224139938,0.6413753085766085,0.006221875194108304,0.006221875194108304,123.59441159601761,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.158624691423391,False,False,24.05,23.55,24.05,20.5,40.0,22.200000000000003,0,72.36997021430162,2.1617746673322666,1.0,s4_narrow_passage_medium,M7,11,0.65
False,17.85,0.7593447190394202,0.3017174581066746,True,92.33155482442223,741.2407234574935,0.04265501456512692,72.05336477800822,0.08060813072619855,0.6350627902445128,0.0001469841778244501,0.0001469841778244501,123.95987474876176,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.164937209755487,False,False,23.450000000000003,23.450000000000003,23.450000000000003,20.5,40.0,22.200000000000003,0,72.26401723626238,2.161791687782636,1.0,s4_narrow_passage_medium,M7,12,0.65
