success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_any,inside_final,gmax_success,radius_success,sigma_success,no_collision,dwell_success,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,eta_min,sigma_omega,k_t,r0,lambda_curl,scene,method,seed
False,28.150000000000002,0.7283556877121884,0.25074076814016555,True,88.99315556124797,2550.247683945433,0.031917846239245075,73.62838242068165,0.015527730619065414,0.28711245698696936,0.004030835419713121,0.004030835419713121,144.10067352321633,0,0.0,True,True,True,False,True,False,True,2.5128875430130306,False,False,29.700000000000003,0.05,5.0,1.2,1.2,0.3,s4_narrow_passage,M7,0
False,27.75,0.7276870229378984,0.248416041780315,True,95.36861114032932,2994.1485450942528,0.039827921176797114,72.77988618119359,0.014142017110277091,0.2890045078373629,0.0025065362919524463,0.0025065362919524463,149.74041523363474,0,0.0,True,True,True,False,True,False,True,2.5109954921626367,False,False,28.700000000000003,0.05,5.0,1.2,1.2,0.5,s4_narrow_passage,M7,0
False,27.650000000000002,0.7219914125711269,0.2487508353490493,True,103.83453443602622,3607.606412056175,0.04718290313627533,72.78066416818753,0.014140778175837794,0.2890074641148644,0.0025148554042791044,0.0025148554042791044,157.61520059097592,0,0.0,True,True,True,False,True,False,True,2.5109925358851353,False,False,28.55,0.05,5.0,1.2,1.2,0.7,s4_narrow_passage,M7,0
False,29.35,0.7283616331056202,0.23588641862804755,True,86.84960481377311,2425.30511893377,0.0315015265056897,74.09838560050177,0.01605720550948983,0.2927567994116675,0.0035550905629589138,0.0035550905629589138,140.7426331054783,0,0.0,True,True,True,False,True,False,True,2.5072432005883325,False,False,29.700000000000003,0.05,5.0,1.2,1.5,0.3,s4_narrow_passage,M7,0
False,28.85,0.728352796682677,0.24328335873192788,True,95.3064629407317,3027.675269229068,0.039827921176797114,73.50610188363609,0.01387467001488822,0.29741496007983986,0.0076017789578358055,0.0076017789578358055,150.49114468083343,0,0.0,True,True,True,False,True,False,True,2.50258503992016,False,False,29.200000000000003,0.05,5.0,1.2,1.5,0.5,s4_narrow_passage,M7,0
False,28.85,0.7235902770717277,0.2515903482618605,True,105.18876395210607,3748.786914769627,0.04635026366916459,74.4402960425372,0.016040558080908675,0.29281821160570315,0.003619346226322375,0.003619346226322375,159.84465012723848,0,0.0,True,True,True,False,True,False,True,2.5071817883942966,False,False,29.0,0.05,5.0,1.2,1.5,0.7,s4_narrow_passage,M7,0
False,30.700000000000003,0.7288783572264694,0.24552588964806088,True,85.31917746353395,2350.826550011975,0.033999444907021927,74.28190698987916,0.016442844718064877,0.29684638403536784,0.003636025628108072,0.003636025628108072,139.27707009731165,0,0.0,True,True,True,False,True,False,True,2.503153615964632,False,False,30.450000000000003,0.05,5.0,1.2,1.8,0.3,s4_narrow_passage,M7,0
False,30.3,0.7273995387325181,0.24952591949219668,True,94.16218937448528,2983.0172399472585,0.040105467665834026,73.6341989072665,0.014293563980130973,0.300854173336848,0.0075273689925450405,0.0075273689925450405,149.6738875241338,0,0.0,True,True,True,False,True,False,True,2.4991458266631517,False,False,30.0,0.05,5.0,1.2,1.8,0.5,s4_narrow_passage,M7,0
False,30.3,0.7237996835318043,0.2521789153687413,True,105.51838855280113,3808.2987518933123,0.04704412989175687,73.78741487891998,0.01429820979735147,0.3008749896075903,0.007540583044423669,0.007540583044423669,160.7042994517016,0,0.0,True,True,True,False,True,False,True,2.4991250103924094,False,False,30.150000000000002,0.05,5.0,1.2,1.8,0.7,s4_narrow_passage,M7,0
False,31.55,0.7285274954873759,0.19689612209133317,True,88.48634277918384,2539.107229364769,0.03025256730502359,72.52485826607135,0.012699837744324038,0.27419515826681856,0.0021631451073956284,0.0021631451073956284,145.96224422219456,0,0.0,True,True,True,False,True,False,True,2.5258048417331813,False,False,31.6,0.05,8.0,0.6,1.2,0.3,s4_narrow_passage,M7,0
False,30.900000000000002,0.7276370823699818,0.2058766110793055,True,97.60921097218804,3185.9196340305207,0.03635859006383569,72.68920333725318,0.01270641080643708,0.2741806738591586,0.002129585047953634,0.002129585047953634,156.6440382879651,0,0.0,True,True,True,False,True,False,True,2.5258193261408413,False,False,30.950000000000003,0.05,8.0,0.6,1.2,0.5,s4_narrow_passage,M7,0
False,30.55,0.7228028285495907,0.19991632429787365,True,107.94661143436352,3940.911801352746,0.043158479045240075,72.48739142529223,0.012699615955787136,0.2741956725831811,0.0021641044619655062,0.0021641044619655062,166.87746466427382,0,0.0,True,True,True,False,True,False,True,2.525804327416819,False,False,30.650000000000002,0.05,8.0,0.6,1.2,0.7,s4_narrow_passage,M7,0
False,32.65,0.7285665971784974,0.19868708821499861,True,88.27865631770936,2546.0115564968096,0.030391340549542047,72.67127031871158,0.012854321341342656,0.2756570991458988,0.0021176251470148904,0.0021176251470148904,146.21279711647566,0,0.0,True,True,True,False,True,False,True,2.524342900854101,False,False,32.15,0.05,8.0,0.6,1.5,0.3,s4_narrow_passage,M7,0
False,31.900000000000002,0.7272512662909676,0.19831376784911722,True,97.81991718122579,3224.4635482141657,0.037052456286427976,72.68211504356428,0.012854972345299186,0.27565564042402885,0.002114498262165876,0.002114498262165876,157.82774713260054,0,0.0,True,True,True,False,True,False,True,2.524344359575971,False,False,31.35,0.05,8.0,0.6,1.5,0.5,s4_narrow_passage,M7,0
False,31.55,0.7235585620535219,0.19741849073304438,True,108.28091834139155,3991.4109725583016,0.04357479877879545,72.67485681375165,0.012854460062672365,0.27565676332777295,0.002117120347984482,0.002117120347984482,167.38600876929593,0,0.0,True,True,True,False,True,False,True,2.5243432366722267,False,False,31.05,0.05,8.0,0.6,1.5,0.7,s4_narrow_passage,M7,0
False,33.95,0.7286486203599527,0.2254144230492021,True,88.3654985400442,2560.1089576289496,0.030946433527615877,72.67471297187427,0.012946968642348426,0.276571671778634,0.002109107503902128,0.002109107503902128,146.7438870728351,0,0.0,True,True,True,False,True,False,True,2.5234283282213656,False,False,32.800000000000004,0.05,8.0,0.6,1.8,0.3,s4_narrow_passage,M7,0
