source_run,source_file,scene,method,success_rate,completion_time_mean,completion_time_std,collision_rate,min_obs_distance_mean,min_agent_distance_mean,gmax_mean,radius_var_mean,control_cost_mean,control_smoothness_mean,input_sat_mean,stall_steps_mean,inside_any_rate,inside_final_rate,gmax_success_rate,radius_success_rate,sigma_success_rate,no_collision_rate,dwell_success_rate,radius_error_final_mean,success_geom_final_rate,success_no_collision_rate,gmax_reach_time_mean,obs_collision_rate,agent_collision_rate,dwell_geom_success_rate,dwell_success_no_collision_rate,time_to_inside_mean,time_to_gmax_mean,time_to_radius_mean,time_to_full_geom_mean,success_hold_time_mean,post_success_violation_count_mean,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate_mean
outputs/debug_after_metric_fix,outputs/debug_after_metric_fix/summary_metrics.csv,s5_dense_tracking_easy,M4,0.0,17.283333333333335,0.1154700538379247,1.0,-0.3355113763587559,0.4071941070892983,270.3586901341,0.2702022155476813,119.86805539152122,2.473987219646238,0.2160781701088163,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.8604193668087734,0.0,0.0,75.0,,,,,,,,,,,,,
outputs/debug_after_metric_fix,outputs/debug_after_metric_fix/summary_metrics.csv,s5_dense_tracking_easy,M5,0.0,17.333333333333332,0.0288675134594822,1.0,-0.0649122754556039,0.2986415965570075,271.7394487408858,0.2721624869512072,121.1836231779219,0.4933016469474345,0.2174476275075875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.8649003653746702,0.0,0.0,75.0,,,,,,,,,,,,,
outputs/debug_after_metric_fix,outputs/debug_after_metric_fix/summary_metrics.csv,s5_dense_tracking_easy,M6,0.0,17.25,0.0866025403784425,1.0,-0.332585801078167,0.4066017539480473,268.9624348710449,0.2243051226702531,119.78837355914357,2.6597580924558115,0.2158190835739137,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.8679783017381594,0.0,0.0,75.0,,,,,,,,,,,,,
outputs/debug_after_metric_fix,outputs/debug_after_metric_fix/summary_metrics.csv,s5_dense_tracking_easy,M7,0.0,17.333333333333332,0.0288675134594822,1.0,-0.0642989291751313,0.2982939750909407,271.0310990664879,0.2260508672912525,121.07419431559374,0.4910714732297233,0.2171515286105559,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.868827765990179,0.0,0.0,75.0,,,,,,,,,,,,,
outputs/debug_after_metric_fix,outputs/debug_after_metric_fix/summary_metrics.csv,s5_dense_tracking_hard,M1,0.0,21.8,0.3605551275463999,1.0,0.4562539575171673,0.0,360.0,2.0543252740130518e-33,206.881777219901,1580.1766829718124,0.3646457916944259,182.66666666666663,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.323617735068304,0.0,0.0,75.0,,,,,,,,,,,,,
outputs/debug_after_metric_fix,outputs/debug_after_metric_fix/summary_metrics.csv,s5_dense_tracking_hard,M3,0.0,75.0,0.0,1.0,0.6679118058555801,1.649243027705652e-13,359.88563237081763,1.6181232009308815e-08,192.06580552237145,9868.79322056126,0.0148049448515804,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,8.145211727268242,0.0,0.0,75.0,,,,,,,,,,,,,
outputs/debug_after_metric_fix,outputs/debug_after_metric_fix/summary_metrics.csv,s5_dense_tracking_hard,M4,0.0,18.883333333333336,0.0288675134594822,1.0,-1.122791990072032,0.3727714764627197,209.43689987794812,0.2257180653097593,191.3647242938238,593.9287650151085,0.2843289658746021,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,1.0,1.2217713690093637,0.0,0.0,75.0,,,,,,,,,,,,,
outputs/debug_after_metric_fix,outputs/debug_after_metric_fix/summary_metrics.csv,s5_dense_tracking_hard,M5,0.0,18.883333333333336,0.05773502691896,1.0,-1.0896574311477123,0.3055702695639061,257.39722634023457,0.2382355484661845,198.4697598686081,939.0373498887548,0.2959138352209638,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0118743067757008,0.0,0.0,61.43333333333334,,,,,,,,,,,,,
outputs/debug_after_metric_fix,outputs/debug_after_metric_fix/summary_metrics.csv,s5_dense_tracking_hard,M6,0.0,18.883333333333336,0.0288675134594822,1.0,-1.1229496564800954,0.372496618414704,221.1238117303625,0.1603791645310986,192.5644766566329,684.3699784023547,0.2862536087053076,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.131090617240239,0.0,0.0,62.25,,,,,,,,,,,,,
outputs/debug_after_metric_fix,outputs/debug_after_metric_fix/summary_metrics.csv,s5_dense_tracking_hard,M7,0.0,18.883333333333336,0.05773502691896,1.0,-1.089592705278098,0.2949023514757259,247.0640078089668,0.1777862520847227,195.15941758330248,726.4180032654316,0.294211266563032,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0230452545790645,0.0,0.0,62.21666666666667,,,,,,,,,,,,,
