success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_any,inside_final,gmax_success,radius_success,sigma_success,no_collision,obs_collision,agent_collision,dwell_success,dwell_geom_success,dwell_success_no_collision,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,time_to_inside,time_to_gmax,time_to_radius,time_to_full_geom,success_hold_time,post_success_violation_count,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate,scene,method,seed,speed_scale,variant
False,14.55,-0.1774199652998817,0.38437291147896047,True,91.8542542464281,0.12626326458454992,0.19728141072740632,266.88703789179334,0.1446916146321842,2.017753293320073,1.763641973498909,1.8063879009735015,121.40568435313385,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.982246706679927,False,False,68.0,68.0,68.0,13.700000000000001,68.0,53.5,0,267.22396962575107,0.9791378793430389,0.0,e1_tracking_single_obstacle,M7,20,0.7,baseline
False,14.600000000000001,-0.16010327728651363,0.38492863582379033,True,91.72812679278576,0.1248168053051416,0.19826108253734998,267.4834774767128,0.15224002269661832,2.02568294125879,1.7766402011392617,1.8229087422677062,121.27290911992391,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9743170587412102,False,False,68.0,68.0,68.0,13.75,68.0,53.45,0,267.60320058783674,0.9711361130145698,0.0,e1_tracking_single_obstacle,M7,21,0.7,baseline
False,14.600000000000001,-0.22994320628733766,0.39134433848231204,True,91.58527967443001,0.12773716336310226,0.1985060004898359,267.50076922828134,0.15096034062462108,2.024763470049352,1.7750167947938307,1.8209361002678912,121.16785593217874,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.975236529950648,False,False,68.0,68.0,68.0,13.700000000000001,68.0,53.45,0,267.6608805361596,0.9719368566308006,0.0,e1_tracking_single_obstacle,M7,22,0.7,baseline
False,14.55,-0.2735210792026197,0.3799243176718541,True,91.41699288699519,0.13479799693542166,0.19666911584619154,267.41388290906593,0.15218574984400188,2.0250620118793417,1.7758330191545466,1.8216861466535355,120.70663243079454,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9749379881206583,False,False,68.0,68.0,68.0,13.65,68.0,53.5,0,267.5233723609577,0.9718275340048729,0.0,e1_tracking_single_obstacle,M7,23,0.7,baseline
False,14.55,-0.21352047362353188,0.3907430463476264,True,91.61342931685617,0.13139347052327713,0.19728141072740632,267.4557386294666,0.1506713337810854,2.024178865855309,1.7741698003072346,1.819750194215012,120.97135811383572,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9758211341446912,False,False,68.0,68.0,68.0,13.700000000000001,68.0,53.5,0,267.6175855627525,0.9725443021384867,0.0,e1_tracking_single_obstacle,M7,24,0.7,baseline
False,14.55,-0.21235293335440253,0.382561952183569,True,91.54516875687914,0.13032091379693045,0.19654665686994857,267.36080621540975,0.14915581668863953,2.022528075111024,1.7715083319446188,1.8162977644933396,120.88420633982452,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.977471924888976,False,False,68.0,68.0,68.0,13.65,68.0,53.5,0,267.5704178280849,0.9741538727536059,0.0,e1_tracking_single_obstacle,M7,25,0.7,baseline
False,14.55,-0.22927925964105444,0.38116264403644673,True,91.7156153469121,0.14335203379903524,0.19679157482243448,264.82626515291753,0.12788762590124228,2.0069332062835117,1.7412089187634379,1.7849746722161575,121.30815519946061,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9930667937164883,False,False,68.0,68.0,68.0,13.700000000000001,68.0,53.5,0,265.17835961057875,0.9880861697255781,0.0,e1_tracking_single_obstacle,M7,26,0.7,baseline
False,14.55,-0.2272148221965007,0.380564451754455,True,91.47450659651747,0.13385495532475672,0.19666911584619154,267.35877146820434,0.15383103470396706,2.0274122616596126,1.7793128662121156,1.8263583420359304,120.98021776281863,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9725877383403874,False,False,68.0,68.0,68.0,13.700000000000001,68.0,53.5,0,267.46497729610513,0.9695287285741753,0.0,e1_tracking_single_obstacle,M7,27,0.7,baseline
False,14.55,-0.18799656016076882,0.38244976271520215,True,91.6922385247664,0.13782549124446988,0.1970364927749204,267.50266401740527,0.15166348017871575,2.0253139529433,1.7759691674841034,1.8221114826930622,121.17684608052706,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9746860470567,False,False,68.0,68.0,68.0,13.700000000000001,68.0,53.5,0,267.6402007788795,0.971442405744279,0.0,e1_tracking_single_obstacle,M7,28,0.7,baseline
False,14.55,-0.17612334159487164,0.38313794078005897,True,91.71849642764482,0.14094669675600524,0.1970364927749204,267.29151971780533,0.15319024246734628,2.0254919145434234,1.7767008400595208,1.8226105719314172,120.84039874343334,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9745080854565766,False,False,68.0,68.0,68.0,13.700000000000001,68.0,53.5,0,267.3769850955083,0.9715544220521383,0.0,e1_tracking_single_obstacle,M7,29,0.7,baseline
False,14.600000000000001,-0.19030046975544612,0.38819654522571967,True,91.77244464564592,0.12616795320095425,0.1976487876561352,265.79098230516774,0.13084850713537413,2.0057518298460058,1.7405276618923098,1.7847371563617667,121.3904174015523,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9942481701539942,False,False,68.0,68.0,68.0,13.700000000000001,68.0,53.45,0,266.1901727489192,0.9911533436558062,0.0,e1_tracking_single_obstacle,M7,30,0.7,baseline
False,14.5,-0.2310962074830275,0.3810502333029402,True,91.3473039135232,0.13999250626194798,0.19593436198873376,267.49224572435196,0.15213854384041384,2.025654567143549,1.776568964990159,1.8228405638439182,120.83540468979145,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9743454328564511,False,False,68.0,68.0,68.0,13.65,68.0,53.550000000000004,0,267.61568261662944,0.971148137157399,0.0,e1_tracking_single_obstacle,M7,31,0.7,baseline
False,14.600000000000001,-0.13508577796031063,0.37843951515730045,True,91.57440149479912,0.12280580419059946,0.19838354151359294,266.6915814258127,0.14382762861235285,2.016104206893698,1.7611792879448804,1.8030478769493925,120.772761748022,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9838957931063019,False,False,68.0,68.0,68.0,13.700000000000001,68.0,53.45,0,267.0178055557473,0.9809349380829019,0.0,e1_tracking_single_obstacle,M7,32,0.7,baseline
False,14.55,-0.16143364826703377,0.38554627056485963,True,91.7140275433071,0.13764836178850764,0.19715895175116335,267.2500720968067,0.14769735703613657,2.0210509844117515,1.7690689374306154,1.8131996584196775,120.7140594657899,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9789490155882485,False,False,68.0,68.0,68.0,13.700000000000001,68.0,53.5,0,267.5160417087666,0.9756099885449673,0.0,e1_tracking_single_obstacle,M7,33,0.7,baseline
