success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,scene,method,seed
True,3.35,inf,0.7215757740773007,False,25.18675979956388,0.3961132566364945,0.07092907092907093,60.00005796059978,4.2158729886144974e-15,0.8968179784616529,5.028561047386597e-07,5.028561047386597e-07,29.10279803957512,841,0.0,s3_static_encirclement,M6,2
True,3.4000000000000004,inf,0.7091173533743204,False,25.269099646815164,0.39534224771157833,0.07109557109557109,60.000054437415876,3.742578095087242e-15,0.8968179784616316,4.737356014010281e-07,4.737356014010281e-07,29.08485370863953,844,0.0,s3_static_encirclement,M7,0
True,3.35,inf,0.709298543972642,False,25.10379924300753,0.39497163795090107,0.07026307026307026,60.00005649973061,4.065304012768099e-15,0.8968179784616468,4.937126735855793e-07,4.937126735855793e-07,28.98953691480254,842,0.0,s3_static_encirclement,M7,1
True,3.35,inf,0.7215757740773007,False,25.18675979956388,0.3961132566364945,0.07092907092907093,60.00005796059978,4.2158729886144974e-15,0.8968179784616529,5.028561047386597e-07,5.028561047386597e-07,29.10279803957512,841,0.0,s3_static_encirclement,M7,2
False,11.850000000000001,0.6909687229914219,3.952657477685504e-13,True,81.63587295896218,0.26960199120220796,0.21135165140160977,359.99976371298993,4.6249027846758575e-23,9.918148696898808e-10,9.918147216696703e-10,9.918147216696703e-10,85.49351867066042,871,1.0,s4_narrow_passage,M1,0
False,11.8,0.6706854530358062,1.1724505678816248e-13,True,81.60427434238846,0.2854556751061939,0.2109353316680544,359.9998575644989,4.295779148339526e-23,9.90642905309947e-10,9.90643053332895e-10,9.90643053332895e-10,85.46790548620268,872,1.0,s4_narrow_passage,M1,1
False,11.700000000000001,0.6628403436536454,1.5989028099467504e-14,True,81.5487834251495,0.28792441741751656,0.2109353316680544,359.99982739848775,4.6817240614133805e-23,9.844192674109775e-10,9.844185273344196e-10,9.844185273344196e-10,85.40473683538691,872,1.0,s4_narrow_passage,M1,2
False,37.1,0.7262820337994833,0.0011273624303120475,True,180.2977658054237,9661.660842983289,0.044268665001387736,179.9991080693114,8.749237040545298e-05,0.017957511334384932,0.009110948622689538,0.009110948622689538,251.56013476895373,0,0.0,s4_narrow_passage,M3,0
False,45.650000000000006,0.7362601810509648,0.00021360131813712006,True,171.19152966926245,8923.323238523586,0.04412989175686927,179.9992753002892,3.8940371904505317e-05,0.01558726207795715,0.0050209334769145235,0.0050209334769145235,245.06127841292994,0,0.0,s4_narrow_passage,M3,1
False,44.2,0.7254460498448865,0.00047557635770064836,True,172.65388330664567,9037.65363407641,0.04440743824590619,179.9992871595006,0.00010103641081510277,0.023027928429481467,0.008938362709677768,0.008938362709677768,246.10958424580497,0,0.0,s4_narrow_passage,M3,2
