scene,method,success_rate,completion_time_mean,completion_time_std,collision_rate,min_obs_distance_mean,min_agent_distance_mean,gmax_mean,radius_var_mean,control_cost_mean,control_smoothness_mean,input_sat_mean,stall_steps_mean
s5_dense_tracking,M1,0.0,75.0,0.0,1.0,0.45552492411811923,0.0,360.0,2.0543252740130515e-33,206.881777219901,1580.1766829718124,0.3646457916944259,182.66666666666666
s5_dense_tracking,M3,0.0,75.0,0.0,1.0,0.6533214552672607,1.6492430277056518e-13,359.88563237081763,1.6181232009308815e-08,192.06580552237145,9868.793220561258,0.014804944851580426,0.0
s5_dense_tracking,M4,0.0,75.0,0.0,1.0,-1.134576935731235,0.3727714764627197,209.43689987794815,0.22571806530975938,191.3647242938238,593.9287650151085,0.28432896587460216,0.0
s5_dense_tracking,M5,0.0,75.0,0.0,1.0,-1.1082824992099933,0.3055702695639061,257.39722634023457,0.23823554846618453,198.4697598686081,939.0373498887551,0.2959138352209638,0.0
s5_dense_tracking,M6,0.0,75.0,0.0,1.0,-1.1347542580394852,0.372496618414704,221.12381173036246,0.16037916453109866,192.5644766566329,684.3699784023548,0.2862536087053076,0.0
s5_dense_tracking,M7,0.0,75.0,0.0,1.0,-1.1082140108096243,0.2949023514757259,247.0640078089668,0.17778625208472273,195.15941758330246,726.4180032654316,0.29421126656303204,0.0
s6_fast_target,M1,0.0,60.0,0.0,1.0,inf,2.0078517272466768e-07,359.9999999999832,2.468937855546601e-12,289.89517038725467,0.0035000778054202247,0.46401147192154685,0.0
s6_fast_target,M3,0.0,60.0,0.0,1.0,inf,0.012385861612181366,359.8690140708904,0.04685475252698116,208.98324429849993,0.0011874931881354761,0.0,0.0
s6_fast_target,M4,0.0,60.0,0.0,1.0,inf,0.5236157829449509,305.0378966242557,0.32301189258806495,274.80182994583924,0.02424483576544766,0.35345545378850957,0.0
s6_fast_target,M5,0.0,60.0,0.0,1.0,inf,0.5236157829449509,305.0378966242557,0.32301189258806495,274.80182994583924,0.02424483576544766,0.35345545378850957,0.0
s6_fast_target,M6,0.0,60.0,0.0,1.0,inf,0.5226468238461729,305.05011910430056,0.3055189529637458,274.77827318094023,0.023026375208417087,0.35350171153668236,0.0
s6_fast_target,M7,0.0,60.0,0.0,1.0,inf,0.5226468238461729,305.05011910430056,0.3055189529637458,274.77827318094023,0.023026375208417087,0.35350171153668236,0.0
