step,time,agent,omega,rho,psi_tilde,phi
5,0.25,1,0.0,0.99774724398068,0.9985910348965937,0.0
5,0.25,2,0.0,0.99774724398068,0.9985910348965937,0.0
5,0.25,3,0.0,0.99774724398068,0.9985910348965937,0.0
5,0.25,4,0.0,0.9977472439806798,0.9985910348965935,0.0
5,0.25,5,0.0,0.99774724398068,0.9985910348965937,0.0
6,0.30000000000000004,0,0.0,0.9977804767314449,0.9986118344553633,0.0
6,0.30000000000000004,1,0.0,0.9977804767314449,0.9986118344553633,0.0
6,0.30000000000000004,2,0.0,0.9977804767314444,0.9986118344553631,0.0
6,0.30000000000000004,3,0.0,0.9977804767314444,0.9986118344553631,0.0
6,0.30000000000000004,4,0.0,0.9977804767314444,0.9986118344553631,0.0
6,0.30000000000000004,5,0.0,0.9977804767314449,0.9986118344553633,0.0
7,0.35000000000000003,0,0.0,0.9978086488246536,0.9986294663341438,0.0
7,0.35000000000000003,1,0.0,0.9978086488246536,0.9986294663341438,0.0
7,0.35000000000000003,2,0.0,0.9978086488246538,0.998629466334144,0.0
7,0.35000000000000003,3,0.0,0.9978086488246536,0.9986294663341438,0.0
7,0.35000000000000003,4,0.0,0.9978086488246538,0.998629466334144,0.0
7,0.35000000000000003,5,0.0,0.9978086488246538,0.998629466334144,0.0
8,0.4,0,0.0,0.9978325544943176,0.9986444277709143,0.0
8,0.4,1,0.0,0.9978325544943176,0.9986444277709143,0.0
8,0.4,2,0.0,0.9978325544943176,0.9986444277709143,0.0
8,0.4,3,0.0,0.9978325544943176,0.9986444277709143,0.0
8,0.4,4,0.0,0.9978325544943176,0.9986444277709143,0.0
8,0.4,5,0.0,0.9978325544943176,0.9986444277709143,0.0
9,0.45,0,0.0,0.9978529265641216,0.9986571775164648,0.0
9,0.45,1,0.0,0.9978529265641216,0.9986571775164648,0.0
9,0.45,2,0.0,0.9978529265641216,0.9986571775164648,0.0
9,0.45,3,0.0,0.9978529265641216,0.9986571775164648,0.0
9,0.45,4,0.0,0.9978529265641221,0.9986571775164651,0.0
9,0.45,5,0.0,0.9978529265641221,0.9986571775164651,0.0
10,0.5,0,0.0,0.9978704359564297,0.9986681355413003,0.0
10,0.5,1,0.0,0.9978704359564297,0.9986681355413003,0.0
10,0.5,2,0.0,0.9978704359564297,0.9986681355413003,0.0
10,0.5,3,0.0,0.9978704359564297,0.9986681355413003,0.0
10,0.5,4,0.0,0.9978704359564297,0.9986681355413003,0.0
10,0.5,5,0.0,0.9978704359564297,0.9986681355413003,0.0
11,0.55,0,0.0,0.9978856931461451,0.9986776839564812,0.0
11,0.55,1,0.0,0.9978856931461451,0.9986776839564812,0.0
11,0.55,2,0.0,0.9978856931461451,0.9986776839564812,0.0
11,0.55,3,0.0,0.9978856931461451,0.9986776839564812,0.0
11,0.55,4,0.0,0.9978856931461451,0.9986776839564812,0.0
11,0.55,5,0.0,0.9978856931461453,0.9986776839564814,0.0
12,0.6000000000000001,0,0.0,0.99789925002438,0.9986861681882226,0.0
12,0.6000000000000001,1,0.0,0.99789925002438,0.9986861681882226,0.0
12,0.6000000000000001,2,0.0,0.99789925002438,0.9986861681882226,0.0
12,0.6000000000000001,3,0.0,0.99789925002438,0.9986861681882226,0.0
12,0.6000000000000001,4,0.0,0.99789925002438,0.9986861681882226,0.0
12,0.6000000000000001,5,0.0,0.99789925002438,0.9986861681882226,0.0
13,0.65,0,0.0,0.9979116009499294,0.9986938976420211,0.0
13,0.65,1,0.0,0.9979116009499294,0.9986938976420211,0.0
13,0.65,2,0.0,0.9979116009499294,0.9986938976420211,0.0
13,0.65,3,0.0,0.9979116009499294,0.9986938976420211,0.0
13,0.65,4,0.0,0.9979116009499294,0.9986938976420211,0.0
13,0.65,5,0.0,0.9979116009499294,0.9986938976420211,0.0
14,0.7000000000000001,0,0.0,0.9979231823036632,0.9987011454281901,0.0
14,0.7000000000000001,1,0.0,0.9979231823036632,0.9987011454281901,0.0
14,0.7000000000000001,2,0.0,0.9979231823036632,0.9987011454281901,0.0
14,0.7000000000000001,3,0.0,0.9979231823036632,0.9987011454281901,0.0
14,0.7000000000000001,4,0.0,0.9979231823036632,0.9987011454281901,0.0
