step,time,agent,omega,rho,psi_tilde,phi
22,1.1,1,0.0,1.0,0.9987623359482694,0.0
22,1.1,2,0.0,1.0,0.9987623359482694,0.0
22,1.1,3,0.0,1.0,0.9987623359482694,0.0
22,1.1,4,0.0,1.0,0.9987623359482694,0.0
22,1.1,5,0.0,1.0,0.9987623359482694,0.0
23,1.1500000000000001,0,0.0,1.0,0.9987712053077918,0.0
23,1.1500000000000001,1,0.0,1.0,0.9987712053077918,0.0
23,1.1500000000000001,2,0.0,1.0,0.9987712053077921,0.0
23,1.1500000000000001,3,0.0,1.0,0.9987712053077918,0.0
23,1.1500000000000001,4,0.0,1.0,0.9987712053077921,0.0
23,1.1500000000000001,5,0.0,1.0,0.9987712053077918,0.0
24,1.2000000000000002,0,0.0,1.0,0.9987802816407795,0.0
24,1.2000000000000002,1,0.0,1.0,0.9987802816407795,0.0
24,1.2000000000000002,2,0.0,1.0,0.9987802816407795,0.0
24,1.2000000000000002,3,0.0,1.0,0.9987802816407795,0.0
24,1.2000000000000002,4,0.0,1.0,0.9987802816407795,0.0
24,1.2000000000000002,5,0.0,1.0,0.9987802816407796,0.0
25,1.25,0,0.0,1.0,0.9987894941930783,0.0
25,1.25,1,0.0,1.0,0.9987894941930783,0.0
25,1.25,2,0.0,1.0,0.9987894941930783,0.0
25,1.25,3,0.0,1.0,0.9987894941930783,0.0
25,1.25,4,0.0,1.0,0.9987894941930783,0.0
25,1.25,5,0.0,1.0,0.9987894941930783,0.0
26,1.3,0,0.0,1.0,0.9987987675331235,0.0
26,1.3,1,0.0,1.0,0.9987987675331235,0.0
26,1.3,2,0.0,1.0,0.9987987675331235,0.0
26,1.3,3,0.0,1.0,0.9987987675331235,0.0
26,1.3,4,0.0,1.0,0.9987987675331235,0.0
26,1.3,5,0.0,1.0,0.9987987675331235,0.0
27,1.35,0,0.0,1.0,0.998808025790158,0.0
27,1.35,1,0.0,1.0,0.998808025790158,0.0
27,1.35,2,0.0,1.0,0.998808025790158,0.0
27,1.35,3,0.0,1.0,0.9988080257901583,0.0
27,1.35,4,0.0,1.0,0.998808025790158,0.0
27,1.35,5,0.0,1.0,0.998808025790158,0.0
28,1.4000000000000001,0,0.0,1.0,0.9988171960238778,0.0
28,1.4000000000000001,1,0.0,1.0,0.9988171960238778,0.0
28,1.4000000000000001,2,0.0,1.0,0.9988171960238778,0.0
28,1.4000000000000001,3,0.0,1.0,0.9988171960238778,0.0
