success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_any,inside_final,gmax_success,radius_success,sigma_success,no_collision,obs_collision,agent_collision,dwell_success,dwell_geom_success,dwell_success_no_collision,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,time_to_inside,time_to_gmax,time_to_radius,time_to_full_geom,success_hold_time,post_success_violation_count,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate,scene,method,seed,eta_min,sigma_omega
False,19.6,1.01269566870152,0.26637433983193215,True,98.4900707950564,1467.2614553266606,0.00749063670411985,75.05804632887151,0.01026956907565005,0.2606826365902715,0.006579651154152929,0.006579651154152929,139.5243335546785,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.539317363409728,False,False,25.650000000000002,25.3,25.650000000000002,22.1,40.0,20.450000000000003,0,74.91810725802918,2.5413323241604524,1.0,s4_narrow_passage_medium,M7,14,0.06,4.0
False,20.450000000000003,0.9808761836367179,0.26659221869307537,True,97.03271613323707,1457.8213565425365,0.0178942987931752,74.26139456216002,0.012055383603007465,0.2566482930916684,0.004207015422800342,0.004207015422800342,138.82611982586772,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5433517069083313,False,False,27.3,26.400000000000002,27.3,22.950000000000003,40.0,19.6,0,75.02303961755894,2.5411349300544708,1.0,s4_narrow_passage_medium,M7,15,0.06,4.0
False,20.1,0.9801374100292823,0.2681903366954997,True,97.67642013401654,1469.3397963534235,0.016021639617145235,74.5180119805027,0.01205632284458733,0.2566426246503138,0.004196918035041362,0.004196918035041362,139.22717518543817,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.543357375349686,False,False,26.1,26.0,26.1,22.55,40.0,19.950000000000003,0,74.92926128581719,2.54132623280082,1.0,s4_narrow_passage_medium,M7,16,0.06,4.0
False,20.150000000000002,0.9969890459656419,0.26675547940228816,True,97.5574291018263,1453.0962953074281,0.012900540990428632,74.60168803927772,0.010268300307020221,0.26067672634807487,0.0065698917983431256,0.0065698917983431256,139.19012798697833,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.539323273651925,False,False,26.1,26.1,26.1,22.650000000000002,40.0,19.900000000000002,0,74.92422729165922,2.541320591059946,1.0,s4_narrow_passage_medium,M7,17,0.06,4.0
False,20.6,0.9844140179981007,0.26530945213129564,True,97.15843724056568,1477.6077663538672,0.020599250936329586,74.69237388442448,0.010268748545214949,0.2606772707220565,0.0065732030053374515,0.0065732030053374515,138.91205661959194,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5393227292779432,False,False,26.5,26.400000000000002,26.5,23.05,40.0,19.450000000000003,0,75.07108890148959,2.540984413340279,1.0,s4_narrow_passage_medium,M7,18,0.06,4.0
False,20.400000000000002,0.9765191497984118,0.2683276277864778,True,97.794116885068,1474.0734742464665,0.016645859342488557,75.33012484800034,0.010267423632804655,0.26069169799267294,0.006559922425976242,0.006559922425976242,139.3784850739861,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.539308302007327,False,False,26.3,26.05,26.3,22.85,40.0,19.650000000000002,0,74.9447479403282,2.5413150489876655,1.0,s4_narrow_passage_medium,M7,19,0.06,4.0
False,20.35,0.9946420888171617,0.26816618460293495,True,97.80039290929709,1491.113659520756,0.01227632126508531,75.14447719882905,0.010269562145195059,0.2606850903060725,0.0065785822531183626,0.0065785822531183626,139.60189926795817,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5393149096939274,False,False,26.650000000000002,26.05,26.650000000000002,22.85,40.0,19.700000000000003,0,74.94971322011492,2.5413186956579867,1.0,s4_narrow_passage_medium,M7,20,0.06,4.0
False,20.6,0.9591039915586179,0.2682325820425584,True,98.2563712028968,1501.9370408971463,0.0178942987931752,75.5990934498729,0.012054973142558267,0.2566166645918016,0.004181018469133887,0.004181018469133887,139.93771272227997,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.543383335408198,False,False,26.900000000000002,26.400000000000002,26.900000000000002,23.05,40.0,19.450000000000003,0,74.91505543544719,2.541247187308859,1.0,s4_narrow_passage_medium,M7,21,0.06,4.0
False,20.150000000000002,0.9781381690258664,0.2663963823866642,True,96.66877884986644,1384.7600392182044,0.012692467748647523,75.27263217664941,0.01205728942211843,0.2566207813872092,0.004169782519922059,0.004169782519922059,138.03673480800177,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.543379218612791,False,False,26.85,26.150000000000002,26.85,22.650000000000002,40.0,19.900000000000002,0,74.9261863953136,2.5413102290557172,1.0,s4_narrow_passage_medium,M7,22,0.06,4.0
False,19.900000000000002,0.9870304233784715,0.2688510656762489,True,97.25694030510012,1437.1620242851905,0.011444028297960882,73.22554080917311,0.010261752842038655,0.260663333792406,0.0065334855113139,0.0065334855113139,138.68416900689868,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5393366662075936,False,False,25.8,25.700000000000003,25.8,22.400000000000002,40.0,20.150000000000002,0,74.90426270290172,2.5413336590323157,1.0,s4_narrow_passage_medium,M7,23,0.06,4.0
