eta_min,sigma_omega,k_t,r0,lambda_curl,success_rate,collision_rate,completion_time_mean,min_obs_distance_mean,min_agent_distance_mean,gmax_mean,radius_var_mean,input_sat_mean,control_smoothness_mean,stall_steps_mean,inside_any_rate,inside_final_rate,gmax_success_rate,radius_success_rate,sigma_success_rate,no_collision_rate,dwell_success_rate,success_geom_final_rate,gmax_reach_time_mean
0.05,5.0,0.6,1.2,0.7,0.0,1.0,30.150000000000002,0.7244041183339769,0.19909944554758832,72.5026680811606,0.012699764760148323,0.04288093255620316,3913.3723445136675,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,30.3
0.05,5.0,0.6,1.5,0.3,0.0,1.0,32.2,0.7285132007686295,0.2134469923231265,72.64752287559772,0.012852591877099766,0.030668887038578962,2550.163412226283,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,31.900000000000002
0.05,5.0,0.6,1.5,0.5,0.0,1.0,31.35,0.7278446036099997,0.216668008674553,72.61140775212091,0.012851060809016773,0.03663613655287261,3186.8859110747658,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,31.0
0.05,5.0,0.6,1.5,0.7,0.0,1.0,31.150000000000002,0.7234231095129873,0.19913766094983643,72.67740277636722,0.01285459670981725,0.043713572023313906,3931.2325700118295,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,30.8
0.05,5.0,0.6,1.8,0.3,0.0,1.0,33.45,0.7287064344965815,0.21974136443026238,72.6616469470884,0.012946379693661808,0.030807660283097418,2535.2199701345203,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,32.550000000000004
0.05,5.0,0.6,1.8,0.5,0.0,1.0,32.7,0.727134501481536,0.2018508113773429,72.53942652320667,0.012941621644607522,0.036774909797391064,3210.7640437384835,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,31.75
0.05,5.0,0.6,1.8,0.7,0.0,1.0,32.550000000000004,0.7233179118553654,0.2085692590314036,72.58335439069256,0.01294297447716032,0.04399111851235082,3988.4491389900572,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,31.55
0.05,5.0,0.9,1.2,0.3,0.0,1.0,29.3,0.7284494014516858,0.22000494077579727,72.50004515298592,0.013358689282252608,0.030391340549542047,2660.597333658816,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,29.75
0.05,5.0,0.9,1.2,0.5,0.0,1.0,28.75,0.7277239553260626,0.2220185605446177,72.67142621530559,0.013445045784814424,0.03788509575353872,3177.8024576457074,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,29.5
0.05,5.0,0.9,1.2,0.7,0.0,1.0,28.650000000000002,0.722683929987926,0.21964850066038427,72.56269557594909,0.01336614744963908,0.04482375797946156,3864.7672274680817,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,29.3
0.05,5.0,0.9,1.5,0.3,0.0,1.0,30.400000000000002,0.728474975522311,0.2354097892971098,72.51418820684457,0.013517730449268135,0.029142381348875937,2582.2201867181448,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,30.400000000000002
0.05,5.0,0.9,1.5,0.5,0.0,1.0,29.900000000000002,0.7278035479063079,0.22719927178465793,72.6700568247065,0.013802875131832149,0.036219816819317234,3130.1766376027936,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,29.75
0.05,5.0,0.9,1.5,0.7,0.0,1.0,29.700000000000003,0.7231888909040094,0.2328476761592157,72.53970312286151,0.01351862091258626,0.04274215931168471,3825.6694182122055,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,29.5
0.05,5.0,0.9,1.8,0.3,0.0,1.0,31.900000000000002,0.7286579724520401,0.22394619749512681,72.67131916257132,0.013830026371901276,0.030113794060505135,2482.239134250834,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,31.1
0.05,5.0,0.9,1.8,0.5,0.0,1.0,31.150000000000002,0.7274905377323206,0.22959110298146845,72.70587832032157,0.013848455132548163,0.03663613655287261,3133.7828896184064,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,30.650000000000002
0.05,5.0,0.9,1.8,0.7,0.0,1.0,31.05,0.7242229429380542,0.2300983816790178,72.66894936693284,0.013834559200254637,0.043713572023313906,3920.619525117624,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,30.3
0.05,5.0,1.2,1.2,0.3,0.0,1.0,28.150000000000002,0.7283556877121884,0.25074076814016555,73.62838242068165,0.015527730619065414,0.031917846239245075,2550.247683945433,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,29.700000000000003
0.05,5.0,1.2,1.2,0.5,0.0,1.0,27.75,0.7276870229378984,0.248416041780315,72.77988618119359,0.014142017110277091,0.039827921176797114,2994.1485450942528,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,28.700000000000003
0.05,5.0,1.2,1.2,0.7,0.0,1.0,27.650000000000002,0.7219914125711269,0.2487508353490493,72.78066416818753,0.014140778175837794,0.04718290313627533,3607.606412056175,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,28.55
0.05,5.0,1.2,1.5,0.3,0.0,1.0,29.35,0.7283616331056202,0.23588641862804755,74.09838560050177,0.01605720550948983,0.0315015265056897,2425.30511893377,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,29.700000000000003
0.05,5.0,1.2,1.5,0.5,0.0,1.0,28.85,0.728352796682677,0.24328335873192788,73.50610188363609,0.01387467001488822,0.039827921176797114,3027.675269229068,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,29.200000000000003
0.05,5.0,1.2,1.5,0.7,0.0,1.0,28.85,0.7235902770717277,0.2515903482618605,74.4402960425372,0.016040558080908675,0.04635026366916459,3748.786914769627,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,29.0
0.05,5.0,1.2,1.8,0.3,0.0,1.0,30.700000000000003,0.7288783572264694,0.24552588964806088,74.28190698987916,0.016442844718064877,0.033999444907021927,2350.826550011975,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,30.450000000000003
0.05,5.0,1.2,1.8,0.5,0.0,1.0,30.3,0.7273995387325181,0.24952591949219668,73.6341989072665,0.014293563980130973,0.040105467665834026,2983.0172399472585,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,30.0
0.05,5.0,1.2,1.8,0.7,0.0,1.0,30.3,0.7237996835318043,0.2521789153687413,73.78741487891998,0.01429820979735147,0.04704412989175687,3808.2987518933123,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,30.150000000000002
0.05,8.0,0.6,1.2,0.3,0.0,1.0,31.55,0.7285274954873759,0.19689612209133317,72.52485826607135,0.012699837744324038,0.03025256730502359,2539.107229364769,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,31.6
0.05,8.0,0.6,1.2,0.5,0.0,1.0,30.900000000000002,0.7276370823699818,0.2058766110793055,72.68920333725318,0.01270641080643708,0.03635859006383569,3185.9196340305207,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,30.950000000000003
0.05,8.0,0.6,1.2,0.7,0.0,1.0,30.55,0.7228028285495907,0.19991632429787365,72.48739142529223,0.012699615955787136,0.043158479045240075,3940.911801352746,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,30.650000000000002
0.05,8.0,0.6,1.5,0.3,0.0,1.0,32.65,0.7285665971784974,0.19868708821499861,72.67127031871158,0.012854321341342656,0.030391340549542047,2546.0115564968096,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,32.15
0.05,8.0,0.6,1.5,0.5,0.0,1.0,31.900000000000002,0.7272512662909676,0.19831376784911722,72.68211504356428,0.012854972345299186,0.037052456286427976,3224.4635482141657,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,31.35
0.05,8.0,0.6,1.5,0.7,0.0,1.0,31.55,0.7235585620535219,0.19741849073304438,72.67485681375165,0.012854460062672365,0.04357479877879545,3991.4109725583016,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,31.05
0.05,8.0,0.6,1.8,0.3,0.0,1.0,33.95,0.7286486203599527,0.2254144230492021,72.67471297187427,0.012946968642348426,0.030946433527615877,2560.1089576289496,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,32.800000000000004
0.05,8.0,0.6,1.8,0.5,0.0,1.0,33.1,0.7271529831237606,0.20159264642457198,72.6226810652619,0.012944536270547924,0.036774909797391064,3259.3205640225724,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,31.950000000000003
0.05,8.0,0.6,1.8,0.7,0.0,1.0,32.75,0.7238200196602367,0.20241313432287353,72.53386221925703,0.012941502562081831,0.044268665001387736,4053.1152386380795,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,31.55
0.05,8.0,0.9,1.2,0.3,0.0,1.0,29.650000000000002,0.7286871734162734,0.21618907257329392,72.65366429535348,0.013431215062763444,0.030807660283097418,2655.1066267778388,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,29.950000000000003
0.05,8.0,0.9,1.2,0.5,0.0,1.0,29.1,0.7279076411161796,0.2189042571157499,72.48743994765242,0.013358418824843116,0.03816264224257563,3204.8933676326706,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,29.650000000000002
0.05,8.0,0.9,1.2,0.7,0.0,1.0,28.85,0.7229115780257229,0.21755359764443166,72.65646064595548,0.013433654020150761,0.04482375797946156,3871.1756401308658,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,29.400000000000002
0.05,8.0,0.9,1.5,0.3,0.0,1.0,30.700000000000003,0.7287053341817924,0.22107420888920476,72.53424113188206,0.013519560677575393,0.03025256730502359,2559.799921141621,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,30.650000000000002
0.05,8.0,0.9,1.5,0.5,0.0,1.0,30.25,0.7277797237942527,0.2188750867806296,72.5231718659662,0.013518780469156161,0.03649736330835415,3165.357807155976,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,30.1
0.05,8.0,0.9,1.5,0.7,0.0,1.0,30.05,0.7231355863235105,0.2242468005379466,72.52340478489651,0.01351996934428504,0.04357479877879545,3868.842824834369,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,29.55
0.05,8.0,0.9,1.8,0.3,0.0,1.0,32.15,0.7286789913261498,0.21588281052642724,72.67478760559968,0.013828408456125998,0.030391340549542047,2474.78031217614,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,31.450000000000003
0.05,8.0,0.9,1.8,0.5,0.0,1.0,31.450000000000003,0.7275881201239229,0.2161983918947469,72.66806042945683,0.013835358132768726,0.036774909797391064,3123.8563536792262,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,30.75
0.05,8.0,0.9,1.8,0.7,0.0,1.0,30.900000000000002,0.7063960184381848,0.22379863865488547,72.67300577398983,0.013828427917582176,0.04357479877879545,3862.5532152456726,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,30.1
0.05,8.0,1.2,1.2,0.3,0.0,1.0,28.450000000000003,0.7282489659841798,0.237308546268359,72.99330808547411,0.013233703895603313,0.03205661948376353,2537.2921949094452,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,29.25
0.05,8.0,1.2,1.2,0.5,0.0,1.0,28.05,0.7278364041326395,0.24361511101578875,72.89883152520996,0.01320282800284199,0.03996669442131557,3059.2151945461796,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,28.85
