success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_any,inside_final,gmax_success,radius_success,sigma_success,no_collision,obs_collision,agent_collision,dwell_success,dwell_geom_success,dwell_success_no_collision,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,time_to_inside,time_to_gmax,time_to_radius,time_to_full_geom,success_hold_time,post_success_violation_count,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate,scene,method,seed,k_s,k_t,r0,config
False,17.75,0.9057169143978043,0.30024432882699487,True,92.2470567894501,736.1228013213426,0.033707865168539325,72.09684261973742,0.07284251177543395,0.6413459498044565,0.006423532122307168,0.006423532122307168,123.85169742032576,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.158654050195543,False,False,24.0,23.5,24.0,20.450000000000003,40.0,22.3,0,72.36224821548242,2.161771607741199,1.0,s4_narrow_passage_medium,M7,24,3.4,1.2,1.6,baseline_fixed_floor
False,17.8,0.8341664315539756,0.3207258899775514,True,92.60730665935797,815.3007593664438,0.0328755722014149,72.08316708110294,0.07285595121537893,0.6413335232084667,0.006362751752132799,0.006362751752132799,124.30100043655938,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.158666476791533,False,False,23.400000000000002,23.400000000000002,23.400000000000002,20.450000000000003,40.0,22.25,0,72.39921983753648,2.1617613142504752,1.0,s4_narrow_passage_medium,M7,25,3.4,1.2,1.6,baseline_fixed_floor
False,17.8,0.9276930563311787,0.2989886585805061,True,92.04353647661779,801.4773543102955,0.03454015813566375,72.0510580625211,0.08064583127134896,0.6350335181063594,5.8014940039718414e-05,5.8014940039718414e-05,123.79666562620528,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1649664818936403,False,False,23.700000000000003,23.700000000000003,23.700000000000003,20.450000000000003,40.0,22.25,0,72.38280560738605,2.1617775217336703,1.0,s4_narrow_passage_medium,M7,26,3.4,1.2,1.6,baseline_fixed_floor
False,17.55,0.9352373562999354,0.29907838362757705,True,92.06120529441978,770.6171154580419,0.025801081980857263,72.06835509968947,0.07283992678054065,0.6413482403178533,0.006356151058245655,0.006356151058245655,123.48400887896508,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1586517596821464,False,False,23.450000000000003,23.35,23.450000000000003,20.25,40.0,22.5,0,72.35404638912298,2.1617677434805898,1.0,s4_narrow_passage_medium,M7,27,3.4,1.2,1.6,baseline_fixed_floor
False,17.8,0.9688025274516046,0.29996752580382746,True,92.19374051206658,699.3586559822566,0.027881814398668332,72.07970154737087,0.07284364307571119,0.6413455764838368,0.006290067057479871,0.006290067057479871,123.88355442194711,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.158654423516163,False,False,24.05,23.75,24.05,20.450000000000003,40.0,22.25,0,72.35606214455316,2.161776681421963,1.0,s4_narrow_passage_medium,M7,28,3.4,1.2,1.6,baseline_fixed_floor
False,17.75,0.9044444616124137,0.2993972053408295,True,91.63753290900159,684.9490154011586,0.031835205992509365,71.99365243572453,0.08063063541067625,0.6350451200554409,0.00018510455006762725,0.00018510455006762725,123.13521373520587,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.164954879944559,False,False,23.900000000000002,23.75,23.900000000000002,20.450000000000003,40.0,22.3,0,72.27676879123885,2.161791519348227,1.0,s4_narrow_passage_medium,M7,29,3.4,1.2,1.6,baseline_fixed_floor
False,17.7,0.942505658122675,0.33437395589357616,True,92.59341226146879,741.131508447627,0.03162713275072826,72.1040437404067,0.07286319835737333,0.6413269984116441,0.006306566477521391,0.006306566477521391,123.97861374167286,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1586730015883555,False,False,23.700000000000003,23.35,23.700000000000003,20.35,40.0,22.35,0,72.37975677149193,2.1617796100891167,1.0,s4_narrow_passage_medium,M7,30,3.4,1.2,1.6,baseline_fixed_floor
False,17.5,0.8987661482262481,0.31219208070310056,True,92.08303196847407,699.3177169176173,0.02725759467332501,72.09449659922537,0.07284258366555267,0.641345845815366,0.006434702056367457,0.006434702056367457,123.31360237630966,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.158654154184634,False,False,23.75,23.200000000000003,23.75,20.150000000000002,40.0,22.55,0,72.32838893782316,2.161776487539274,1.0,s4_narrow_passage_medium,M7,31,3.4,1.2,1.6,baseline_fixed_floor
False,17.75,0.9000607372270693,0.29837895482555704,True,91.91280644350992,665.8894990718354,0.030378693300041615,72.06163086327881,0.08059985645326567,0.6350695040312289,4.3483938428394715e-05,4.3483938428394715e-05,123.46691312846693,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.164930495968771,False,False,24.3,23.85,24.3,20.400000000000002,40.0,22.3,0,72.3753400710541,2.1617840673478907,1.0,s4_narrow_passage_medium,M7,32,3.4,1.2,1.6,baseline_fixed_floor
False,17.85,0.9191669529175559,0.29841635157568974,True,91.87241304718758,652.9275528064842,0.028297960882230546,72.06557099271662,0.07281717111382312,0.6413680368840065,0.006294004365152163,0.006294004365152163,123.52382206586026,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1586319631159934,False,False,24.400000000000002,24.0,24.400000000000002,20.5,40.0,22.200000000000003,0,72.37799256604063,2.161786667264984,1.0,s4_narrow_passage_medium,M7,33,3.4,1.2,1.6,baseline_fixed_floor
