success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_final,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,eta_min,sigma_omega,k_t,r0,lambda_curl,scene,method,seed
False,31.900000000000002,0.7350486125686884,0.21833614760939724,True,97.09423962038466,3206.456432125492,0.036774909797391064,72.59547436519496,0.012850458283177088,0.2756655753358083,0.002137333698232442,0.002137333698232442,156.9442016604486,0,0.0,True,2.5243344246641914,False,False,31.55,0.05,5.0,0.6,1.5,0.5,s4_narrow_passage,M7,1
False,31.700000000000003,0.7379725286466485,0.2022765927139985,True,97.01479469917602,3199.4629572719577,0.036219816819317234,72.67487676408746,0.012854458594296072,0.2756567656913727,0.002117133389149833,0.002117133389149833,156.7931090615999,0,0.0,True,2.524343234308627,False,False,31.400000000000002,0.05,5.0,0.6,1.5,0.5,s4_narrow_passage,M7,2
False,29.3,0.7284494014516858,0.22000494077579727,True,89.91826250012315,2660.597333658816,0.030391340549542047,72.50004515298592,0.013358689282252608,0.28119400688169555,0.0023048211341930077,0.0023048211341930077,147.89886942133882,0,0.0,True,2.5188059931183044,False,False,29.75,0.05,5.0,0.9,1.2,0.3,s4_narrow_passage,M7,0
False,29.6,0.7375898872793438,0.2229884698932277,True,89.78562046437347,2645.4563784362113,0.03025256730502359,72.64494009897169,0.013423916559519805,0.2810035200133466,0.0019139841725359054,0.0019139841725359054,147.57098246259133,0,0.0,True,2.518996479986653,False,False,30.25,0.05,5.0,0.9,1.2,0.3,s4_narrow_passage,M7,1
False,29.400000000000002,0.7391049476739802,0.21333305188165844,True,89.94061643771268,2635.955775809208,0.03025256730502359,72.6541402713542,0.013431657730794919,0.28099023412703694,0.0018741110890524838,0.0018741110890524838,147.50969405244223,0,0.0,True,2.519009765872963,False,False,30.35,0.05,5.0,0.9,1.2,0.3,s4_narrow_passage,M7,2
False,28.75,0.7277239553260626,0.2220185605446177,True,97.21665658778912,3177.8024576457074,0.03788509575353872,72.67142621530559,0.013445045784814424,0.2809672296483978,0.0018073161831635126,0.0018073161831635126,156.2536682310542,0,0.0,True,2.5190327703516022,False,False,29.5,0.05,5.0,0.9,1.2,0.5,s4_narrow_passage,M7,0
False,28.950000000000003,0.7371180816728693,0.22041849545942124,True,97.58033248459213,3200.162181984073,0.03788509575353872,72.58023459947769,0.013370964013165391,0.2811457846609489,0.0022284050336311765,0.0022284050336311765,156.62568658885007,0,0.0,True,2.5188542153390507,False,False,29.85,0.05,5.0,0.9,1.2,0.5,s4_narrow_passage,M7,1
False,28.700000000000003,0.7376733947479679,0.22292342636013154,True,98.22582877572721,3234.8529388038187,0.038023868998057174,72.67119181406298,0.013444899923878095,0.28096747965373675,0.0018079964497357687,0.0018079964497357687,157.7724094564232,0,0.0,True,2.519032520346263,False,False,29.6,0.05,5.0,0.9,1.2,0.5,s4_narrow_passage,M7,2
False,30.400000000000002,0.728474975522311,0.2354097892971098,True,88.37061600145063,2582.2201867181448,0.029142381348875937,72.51418820684457,0.013517730449268135,0.2839003588208387,0.0028588817275893626,0.0028588817275893626,145.6242880901998,0,0.0,True,2.516099641179161,False,False,30.400000000000002,0.05,5.0,0.9,1.5,0.3,s4_narrow_passage,M7,0
False,30.85,0.7378441593166445,0.2277816663999357,True,88.01330110699439,2538.62337271263,0.029142381348875937,72.67029332645393,0.013800846222587891,0.28317903645721126,0.0012541863351970422,0.0012541863351970422,145.09052635918042,0,0.0,True,2.5168209635427887,False,False,31.3,0.05,5.0,0.9,1.5,0.3,s4_narrow_passage,M7,1
False,30.650000000000002,0.7388208397923022,0.22718886257144824,True,88.05774902873249,2539.3388468580633,0.028726061615320566,72.670268577706,0.01380232814364598,0.28317616116856437,0.0012460206431709536,0.0012460206431709536,144.97178408900464,0,0.0,True,2.5168238388314355,False,False,31.1,0.05,5.0,0.9,1.5,0.3,s4_narrow_passage,M7,2
False,29.900000000000002,0.7278035479063079,0.22719927178465793,True,96.21830867856565,3130.1766376027936,0.036219816819317234,72.6700568247065,0.013802875131832149,0.28317491605984174,0.0012426194479312055,0.0012426194479312055,154.82354256211212,0,0.0,True,2.5168250839401582,False,False,29.75,0.05,5.0,0.9,1.5,0.5,s4_narrow_passage,M7,0
False,30.1,0.7372227618455012,0.2646407853663825,True,96.7609764475647,3171.0394739340554,0.03635859006383569,72.54359462116757,0.013515956088699441,0.2839032975601923,0.0028716417984598606,0.0028716417984598606,155.53271611092794,0,0.0,True,2.5160967024398078,False,False,30.35,0.05,5.0,0.9,1.5,0.5,s4_narrow_passage,M7,1
False,29.85,0.7380456406258162,0.22498075719310928,True,96.8156291501827,3166.3996409176734,0.036219816819317234,72.60043375146377,0.013553266062285829,0.2838108760056887,0.0026429062436403882,0.0026429062436403882,155.50777489683267,0,0.0,True,2.516189123994311,False,False,30.35,0.05,5.0,0.9,1.5,0.5,s4_narrow_passage,M7,2
False,31.55,0.7285274954873759,0.19689612209133317,True,88.48634277918384,2539.107229364769,0.03025256730502359,72.52485826607135,0.012699837744324038,0.27419515826681856,0.0021631451073956284,0.0021631451073956284,145.96224422219456,0,0.0,True,2.5258048417331813,False,False,31.6,0.05,8.0,0.6,1.2,0.3,s4_narrow_passage,M7,0
False,32.15,0.7375207597860711,0.20427619584494208,True,88.53765614853454,2529.963566748991,0.029697474326949764,72.69016596381252,0.012706569189837627,0.2741803505095956,0.0021286040147409473,0.0021286040147409473,145.69729620700366,0,0.0,True,2.5258196494904044,False,False,32.300000000000004,0.05,8.0,0.6,1.2,0.3,s4_narrow_passage,M7,1
