scene,method,success_rate,completion_time_mean,completion_time_std,collision_rate,min_obs_distance_mean,min_agent_distance_mean,gmax_mean,radius_var_mean,control_cost_mean,control_smoothness_mean,input_sat_mean,stall_steps_mean,inside_any_rate,inside_final_rate,gmax_success_rate,radius_success_rate,sigma_success_rate,no_collision_rate,dwell_success_rate,radius_error_final_mean,success_geom_final_rate,success_no_collision_rate,gmax_reach_time_mean
s5_dense_tracking_easy,M6,0.0,17.25,0.08660254037844253,1.0,-0.332585801078167,0.4066017539480473,268.9624348710449,0.22430512267025313,119.78837355914357,2.6597580924558115,0.2158190835739137,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.8679783017381594,0.0,0.0,75.0
s5_dense_tracking_easy,M7,0.0,17.333333333333332,0.02886751345948221,1.0,-0.06429892917513136,0.29829397509094074,271.0310990664879,0.22605086729125254,121.07419431559374,0.4910714732297233,0.21715152861055595,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.868827765990179,0.0,0.0,75.0
s5_dense_tracking_hard,M1,0.0,21.8,0.36055512754639996,1.0,0.4562539575171673,0.0,360.0,2.0543252740130515e-33,206.881777219901,1580.1766829718124,0.3646457916944259,182.66666666666666,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.3236177350683036,0.0,0.0,75.0
s5_dense_tracking_hard,M3,0.0,75.0,0.0,1.0,0.6679118058555801,1.6492430277056518e-13,359.88563237081763,1.6181232009308815e-08,192.06580552237145,9868.79322056126,0.014804944851580426,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,8.145211727268242,0.0,0.0,75.0
s5_dense_tracking_hard,M4,0.0,18.883333333333336,0.02886751345948221,1.0,-1.122791990072032,0.3727714764627197,209.43689987794815,0.22571806530975938,191.3647242938238,593.9287650151085,0.28432896587460216,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,1.0,1.2217713690093637,0.0,0.0,75.0
s5_dense_tracking_hard,M5,0.0,18.883333333333336,0.05773502691896006,1.0,-1.0896574311477123,0.3055702695639061,257.39722634023457,0.23823554846618453,198.46975986860812,939.0373498887549,0.2959138352209638,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0118743067757008,0.0,0.0,61.43333333333334
s5_dense_tracking_hard,M6,0.0,18.883333333333336,0.02886751345948221,1.0,-1.1229496564800954,0.372496618414704,221.12381173036246,0.16037916453109866,192.5644766566329,684.3699784023547,0.2862536087053076,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.131090617240239,0.0,0.0,62.25
s5_dense_tracking_hard,M7,0.0,18.883333333333336,0.05773502691896006,1.0,-1.089592705278098,0.2949023514757259,247.0640078089668,0.17778625208472273,195.15941758330246,726.4180032654316,0.29421126656303204,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0230452545790645,0.0,0.0,62.21666666666667
s5_dense_tracking_medium,M1,0.0,19.483333333333334,0.07637626158259647,1.0,0.5742801695378706,0.0,360.0,6.847750913376838e-34,179.83782985320195,13.82419797539405,0.2732992819601747,22.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.4685507948562933,0.0,0.0,75.0
s5_dense_tracking_medium,M3,0.0,26.016666666666666,0.028867513459481953,1.0,0.8300235619708417,2.651297972098775e-13,226.13689181927077,3.4871245746320597e-05,256.56052677964476,6357.858599250685,0.017469834924864903,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,1.0,2.7831174287862357,0.0,0.0,53.31666666666666
