step,time,agent,omega,rho,psi_tilde,phi
70,3.5,0,0.021313076853836405,1.0,1.0,0.07874206509278477
71,3.5500000000000003,0,0.028558548618017814,1.0,1.0,0.0937677944956505
72,3.6,0,0.036573359764764446,1.0,1.0,0.10870666008548416
73,3.6500000000000004,0,0.04527023970603242,1.0,1.0,0.12354215917744416
74,3.7,0,0.05456894130565823,1.0,1.0,0.13825725570229058
75,3.75,0,0.0643954821017601,1.0,1.0,0.1528343492666769
76,3.8000000000000003,0,0.07468146051337049,1.0,1.0,0.16725526621786405
77,3.85,0,0.08536344215985155,1.0,1.0,0.18150127697818091
78,3.9000000000000004,0,0.09638241232929405,1.0,1.0,0.19555314385427652
79,3.95,0,0.10768329141109555,1.0,1.0,0.20939120314730902
80,4.0,0,0.1192145107300545,1.0,1.0,0.22299548460068497
81,4.05,0,0.13092764665187406,1.0,1.0,0.2363458699482502
82,4.1000000000000005,0,0.14277711103998764,1.0,1.0,0.2494222905330096
83,4.15,0,0.15471989610402817,1.0,1.0,0.2622049616803929
84,4.2,0,0.1667153713773321,1.0,1.0,0.27467464883706755
85,4.25,0,0.17872513000197154,1.0,1.0,0.2868129576237264
86,4.3,0,0.1907128807199605,1.0,1.0,0.2986026371818612
87,4.3500000000000005,0,0.20264438103442575,1.0,1.0,0.3100278838646128
88,4.4,0,0.21448740600979985,1.0,1.0,0.3210746307881667
89,4.45,0,0.22621174624190069,1.0,1.0,0.3317308083308081
90,4.5,0,0.2377892277710249,1.0,1.0,0.34198656153314283
91,4.55,0,0.24919374624758495,1.0,1.0,0.3518344125366252
92,4.6000000000000005,0,0.26040130757547936,1.0,1.0,0.3612693595265288
93,4.65,0,0.2713900675950376,1.0,1.0,0.3702889077710614
94,4.7,0,0.28214036411560955,1.0,1.0,0.37889303280075703
95,4.75,0,0.2926347357084076,1.0,1.0,0.38708408004358985
96,4.800000000000001,0,0.3028579230239732,1.0,1.0,0.3948666088640637
97,4.8500000000000005,0,0.3127968498831198,1.0,1.0,0.4022471916154389
98,4.9,0,0.32244058287833605,1.0,1.0,0.40923417983528215
99,4.95,0,0.33178026960025037,1.0,1.0,0.4158374500974794
100,5.0,0,0.34080905678242784,1.0,1.0,0.4220681414220252
101,5.050000000000001,0,0.34952199058155786,1.0,1.0,0.4279383947737282
102,5.1000000000000005,0,0.3579159018561948,1.0,1.0,0.43346110332792753
103,5.15,0,0.36598927968181527,1.0,1.0,0.43864968011239913
104,5.2,0,0.37374213647112553,1.0,1.0,0.44351784757491775
105,5.25,0,0.381175867998124,1.0,1.0,0.44807945174110947
106,5.300000000000001,0,0.3882931114003439,1.0,1.0,0.45234830202032283
