method,t_pred,beta_lead,r_c,success_rate,collision_rate,completion_time_mean,current_center_error_mean,predicted_center_error_mean,input_sat_mean,gmax_mean,gmax_reach_time_mean
M5,0.7,0.35,3.6,0.0,1.0,60.0,3.3733415891703262,3.916686974880603,0.2908687205106855,321.0522304134443,60.0
M5,0.0,0.35,3.6,0.0,1.0,60.0,3.569049954997453,3.569049954997453,0.27768526228143214,323.256300232964,60.0
M5,0.0,0.5,3.6,0.0,1.0,60.0,3.569049954997453,3.569049954997453,0.27768526228143214,323.25630023296395,60.0
M6,1.3,0.5,2.8,0.0,1.0,60.0,2.2426814954283256,3.2517493934877653,0.3697844388935147,302.2681528448273,60.0
M6,1.0,0.5,2.8,0.0,1.0,60.0,2.3598248158106636,3.136031400628942,0.36155055971875294,303.0574192467555,60.0
M6,1.3,0.35,2.8,0.0,1.0,60.0,2.387371750428379,3.3964393098078696,0.359237672310112,303.10697234208334,60.0
M6,1.0,0.35,2.8,0.0,1.0,60.0,2.472816767875489,3.249023174988204,0.35350171153668236,305.05011910430056,60.0
M6,0.7,0.5,2.8,0.0,1.0,60.0,2.4798918423348826,3.0232367747472106,0.3533166805439911,305.9193976873567,60.0
M6,0.7,0.35,2.8,0.0,1.0,60.0,2.5588364595081874,3.102181309637546,0.34785826625959854,307.35811721333255,60.0
M6,1.3,0.5,3.2,0.0,1.0,60.0,2.6505926460922566,3.659660856759325,0.3410583772781941,310.70403340497603,60.0
M6,0.0,0.35,2.8,0.0,1.0,60.0,2.7613599611951223,2.7613599611951223,0.33435100379313537,312.4574568893054,60.0
M6,0.0,0.5,2.8,0.0,1.0,60.0,2.7613599611951254,2.7613599611951254,0.33435100379313537,312.45745688930543,60.0
M6,1.0,0.5,3.2,0.0,1.0,60.0,2.7692352153359763,3.5454420289534228,0.33305578684429643,313.0897511619412,60.0
M6,1.3,0.35,3.2,0.0,1.0,60.0,2.799097252706279,3.8081652140683175,0.3307428994356555,312.9579185281322,60.0
M6,1.0,0.35,3.2,0.0,1.0,60.0,2.8833213970126814,3.6595281274883344,0.3249606809140531,314.68495157088097,60.0
M6,0.7,0.5,3.2,0.0,1.0,60.0,2.8881424851821316,3.4314876829966443,0.3249606809140531,315.104194346786,60.0
M6,0.7,0.35,3.2,0.0,1.0,60.0,2.9679219641671453,3.511267193447709,0.31936349338514197,316.11826826783977,60.0
