eta_min,sigma_omega,k_t,r0,lambda_curl,success_rate,collision_rate,completion_time_mean,min_obs_distance_mean,min_agent_distance_mean,gmax_mean,radius_var_mean,input_sat_mean,control_smoothness_mean,gmax_reach_time_mean
0.1,8.0,0.6,1.5,0.5,0.0,1.0,28.8,0.7342374696078103,0.20712495881160065,72.58679268062455,0.01285067764605103,0.03557220834489777,3217.956844746342,28.850000000000005
0.05,5.0,0.9,1.2,0.5,0.0,1.0,28.8,0.7341718105822999,0.22178682745472347,72.64095087628209,0.013420303240619304,0.037931353501711534,3204.2725261445325,29.650000000000002
0.05,8.0,0.9,1.2,0.5,0.0,1.0,29.150000000000002,0.7344367002886957,0.21505862321397118,72.57486335665781,0.013387470146902586,0.03839393098343973,3216.3650749401218,29.633333333333336
0.1,5.0,0.6,1.5,0.3,0.0,1.0,29.350000000000005,0.7351393316029929,0.2044964073425192,72.59619470533401,0.012850803883860618,0.027985937644555463,2612.130001264162,29.483333333333334
0.1,8.0,0.6,1.5,0.3,0.0,1.0,29.433333333333337,0.7350431718241767,0.2079032331358186,72.65453887333034,0.012853276739576735,0.0283097418817652,2620.4077275211803,29.5
0.05,5.0,0.9,1.2,0.3,0.0,1.0,29.433333333333337,0.73504807880167,0.21877548751689446,72.5997085077706,0.013404754524189112,0.03029882505319641,2647.3364959680785,30.116666666666664
0.05,8.0,0.9,1.2,0.3,0.0,1.0,29.783333333333335,0.7350389975334893,0.21236685276055853,72.59921070390823,0.0133980525447919,0.030853918031270234,2625.73232239094,30.36666666666667
0.05,5.0,0.9,1.5,0.5,0.0,1.0,29.950000000000003,0.7343573167925417,0.23894027144804988,72.60469506577928,0.013624032427605806,0.03626607456749006,3155.871917484841,30.150000000000002
0.05,8.0,0.9,1.5,0.5,0.0,1.0,30.25,0.7342459361956045,0.2352970233289716,72.55561219786698,0.013534617597994562,0.03649736330835415,3171.4225181782144,30.400000000000002
0.05,5.0,0.6,1.2,0.5,0.0,1.0,30.483333333333334,0.728636376733304,0.20905884638703917,72.60564525771623,0.012702266140479758,0.03635859006383569,3190.6863789524627,30.850000000000005
0.05,5.0,0.9,1.5,0.3,0.0,1.0,30.633333333333336,0.7350466582104191,0.23012677275616458,72.61825003700149,0.013706968271834001,0.02900360810435748,2553.3941354296126,30.933333333333337
0.05,8.0,0.9,1.5,0.3,0.0,1.0,30.916666666666668,0.7351103107463134,0.2227274287621942,72.5254625248679,0.01351929779923012,0.029975020815986676,2538.4646051691284,30.933333333333337
0.05,8.0,0.6,1.2,0.5,0.0,1.0,31.100000000000005,0.7293099246854231,0.20351895641715148,72.67165984879615,0.012705275824949111,0.03635859006383569,3202.5421565554875,31.166666666666668
0.05,5.0,0.6,1.2,0.3,0.0,1.0,31.28333333333333,0.7349744566263595,0.2003721502684934,72.62186772795458,0.0127038841585534,0.029604958830604128,2551.7654362781245,31.7
0.05,5.0,0.6,1.5,0.5,0.0,1.0,31.650000000000002,0.733621914941779,0.21242691633264957,72.62725296046777,0.01285199256216331,0.03654362105652697,3197.6017668240715,31.316666666666666
0.05,8.0,0.6,1.2,0.3,0.0,1.0,31.849999999999998,0.7349122355960258,0.19997561923391993,72.62186522769315,0.012703515087306945,0.029975020815986676,2541.337152029435,31.950000000000003
0.05,8.0,0.6,1.5,0.5,0.0,1.0,32.300000000000004,0.732446644892493,0.214869108298243,72.59281519364863,0.01285119947530546,0.036682394301045425,3211.990567954797,31.666666666666668
0.05,5.0,0.6,1.5,0.3,0.0,1.0,32.48333333333334,0.735023347355772,0.21055156623305119,72.63856506835262,0.012852575969625274,0.030206309556850774,2530.2371920939863,32.23333333333334
0.05,8.0,0.6,1.5,0.3,0.0,1.0,33.166666666666664,0.7349512242892796,0.20118723132052288,72.6655545283469,0.01285395123179888,0.03016005180867795,2523.0466520174964,32.61666666666667
