success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_final,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,scene,method,seed,t_pred,beta_lead,r_c
False,60.0,inf,0.5180478032226242,True,271.83613175584054,0.02585083291178955,0.33069664168748264,311.9850638055474,0.32398367754420915,2.8736517959908077,2.76164273218248,2.76164273218248,310.70846177071087,0,0.0,False,0.07365179599080784,False,False,60.0,s6_fast_target,M7,1,0.0,0.35,2.8
False,60.0,inf,0.5059301722763588,True,271.70908391814334,0.024065058335751153,0.32708853733000276,314.14476061311484,0.32887818635804317,2.873644748326211,2.762776427379611,2.762776427379611,310.6364156083916,0,0.0,False,0.07364474832621104,False,False,60.0,s6_fast_target,M7,2,0.0,0.35,2.8
False,60.0,inf,0.5599766731600122,True,267.7834778782775,0.029047914178060616,0.3172356369691923,317.8538754662697,0.3348845068246036,3.265338808640468,3.164805290032684,3.164805290032684,308.3441352720676,0,0.0,False,0.06533880864046804,False,False,60.0,s6_fast_target,M4,0,0.0,0.35,3.2
False,60.0,inf,0.5279885021725388,True,267.5893701016899,0.02904843243552063,0.30183180682764366,318.087175029855,0.33544981000345736,3.265371153279586,3.1649635304385724,3.1649635304385724,308.3136741737135,0,0.0,False,0.06537115327958576,False,False,60.0,s6_fast_target,M4,1,0.0,0.35,3.2
False,60.0,inf,0.5229776481600382,True,267.47537661399076,0.02708573526178008,0.2987787954482376,319.64712553118557,0.33880008551669305,3.265530627849882,3.1658673220010654,3.1658673220010654,308.24940974287694,0,0.0,False,0.06553062784988173,False,False,60.0,s6_fast_target,M4,2,0.0,0.35,3.2
False,60.0,inf,0.5599766731600122,True,267.7834778782775,0.029047914178060616,0.3172356369691923,317.8538754662697,0.3348845068246036,3.265338808640468,3.164805290032684,3.164805290032684,308.3441352720676,0,0.0,False,0.06533880864046804,False,False,60.0,s6_fast_target,M5,0,0.0,0.35,3.2
False,60.0,inf,0.5279885021725388,True,267.5893701016899,0.02904843243552063,0.30183180682764366,318.087175029855,0.33544981000345736,3.265371153279586,3.1649635304385724,3.1649635304385724,308.3136741737135,0,0.0,False,0.06537115327958576,False,False,60.0,s6_fast_target,M5,1,0.0,0.35,3.2
False,60.0,inf,0.5229776481600382,True,267.47537661399076,0.02708573526178008,0.2987787954482376,319.64712553118557,0.33880008551669305,3.265530627849882,3.1658673220010654,3.1658673220010654,308.24940974287694,0,0.0,False,0.06553062784988173,False,False,60.0,s6_fast_target,M5,2,0.0,0.35,3.2
False,60.0,inf,0.5594208885686215,True,267.7251772481798,0.027103565691185584,0.31695809048015544,320.99074851530565,0.33390467535218726,3.2665263430782807,3.1679938957308007,3.1679938957308007,308.3041119398457,0,0.0,False,0.06652634307828054,False,False,60.0,s6_fast_target,M6,0,0.0,0.35,3.2
False,60.0,inf,0.5272731630492739,True,267.5703755802481,0.027797198148204187,0.302248126561199,318.09570214154974,0.3260396695471685,3.265326064494658,3.165083902977603,3.165083902977603,308.301677869803,0,0.0,False,0.06532606449465783,False,False,60.0,s6_fast_target,M6,1,0.0,0.35,3.2
