success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_final,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,eta_min,sigma_omega,k_t,r0,lambda_curl,scene,method,seed
False,19.75,0.6385681365976172,0.2776000824846787,True,103.71780498499969,3255.995560454524,0.03635859006383569,72.62005205078009,0.013397907047172598,0.28104971492024383,0.0020552758199460456,0.0020552758199460456,160.1650401318131,0,0.0,True,2.518950285079756,False,False,22.150000000000002,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M6,3
False,19.950000000000003,0.706359748163764,0.284392569090406,True,102.70282390224496,3208.6122335977943,0.03386067166250347,72.62009388295088,0.013397934411633042,0.2810496211056179,0.002055145521718652,0.002055145521718652,158.8784717554183,0,0.0,True,2.518950378894382,False,False,21.85,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M6,4
False,19.25,0.7164774132962319,0.28158807057575835,True,103.3028959177048,3242.0259835189677,0.03275048570635582,72.62010991569397,0.013397785601137267,0.28104998486483307,0.0020560647252415546,0.0020560647252415546,159.66924191800487,0,0.0,True,2.5189500151351667,False,False,21.1,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M6,5
False,19.55,0.6448109501283603,0.2812968559639917,True,102.06077585825153,3173.3877648012203,0.033999444907021927,72.62010169007546,0.013397800928739495,0.2810499513497338,0.0020559643598480944,0.0020559643598480944,158.2435089705603,0,0.0,True,2.518950048650266,False,False,21.400000000000002,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M6,6
False,19.8,0.7060634158091526,0.28143270412044763,True,102.49491282097588,3202.478278842631,0.03358312517346656,72.61998358128537,0.01339788148515305,0.28104982019622204,0.002055372122756593,0.002055372122756593,158.58354911493237,0,0.0,True,2.518950179803778,False,False,21.650000000000002,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M6,7
False,19.5,0.7270447893598007,0.2777619486578436,True,103.65013052984102,3237.071547592175,0.03275048570635582,72.62014298467837,0.013397879208370232,0.281049730097186,0.0020555238344888813,0.0020555238344888813,159.85236304724788,0,0.0,True,2.5189502699028137,False,False,21.650000000000002,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M6,8
False,18.95,0.6977935496190926,0.28068633635150586,True,102.99809106059706,3184.9956336680902,0.03164029975020816,72.62013004439751,0.013397855211424994,0.2810497980961872,0.0020556586342166975,0.0020556586342166975,159.1762799883586,0,0.0,True,2.5189502019038126,False,False,20.8,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M6,9
False,26.25,0.7275924517717749,0.21121840745999756,True,97.8738950875026,3187.1847260476156,0.03483208437413267,72.58032786608128,0.013370871908393813,0.2811459761168543,0.0022290565389847155,0.0022290565389847155,156.331262682481,0,0.0,True,2.5188540238831454,False,False,27.400000000000002,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M7,0
False,26.400000000000002,0.7372525074773242,0.23302939479527277,True,98.59139675321165,3236.433949175228,0.03427699139605884,72.5778852740971,0.01337006460691705,0.28114905027585174,0.0022341580552656475,0.0022341580552656475,157.05811486386003,0,0.0,True,2.5188509497241482,False,False,27.6,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M7,1
False,26.200000000000003,0.7377280861643694,0.21620626965008902,True,98.24977851540909,3196.744886340067,0.03413821815154038,72.56337676207974,0.013366186405906458,0.2811641152908208,0.0022584744478154357,0.0022584744478154357,156.79016060101299,0,0.0,True,2.518835884709179,False,False,27.150000000000002,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M7,2
False,26.25,0.7442195732292587,0.2718139505275812,True,98.9648038945711,3226.2660266905696,0.03483208437413267,72.62724123451264,0.013407723139835709,0.2810312839299547,0.001999939272218318,0.001999939272218318,157.22006725516425,0,0.0,True,2.518968716070045,False,False,27.400000000000002,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M7,3
False,26.450000000000003,0.721908094454393,0.2137581911620589,True,98.15832898099661,3151.1345308085874,0.03302803219539273,72.60316639094815,0.013381090372051097,0.28110759920993744,0.0021639218932034982,0.0021639218932034982,156.4075657932675,0,0.0,True,2.5188924007900626,False,False,27.700000000000003,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M7,4
False,24.650000000000002,0.7374162773015367,0.21974485862803267,True,98.94382471670811,3217.0660247260194,0.03205661948376353,72.64317209506916,0.013422783738063824,0.28100544971350994,0.0019195082884702116,0.0019195082884702116,157.18224916788125,0,0.0,True,2.51899455028649,False,False,25.8,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M7,5
False,26.400000000000002,0.7350044573152805,0.20790258747877013,True,98.40324936022478,3205.4222178779705,0.033721898417985015,72.65085248202256,0.013429233436885903,0.28099438622094103,0.0018862140165109285,0.0018862140165109285,156.82117560379038,0,0.0,True,2.5190056137790586,False,False,27.55,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M7,6
False,26.5,0.7239751597665094,0.20833993482800411,True,98.41629947068064,3183.489866225094,0.03427699139605884,72.64284774503999,0.013422411186650668,0.2810060917726211,0.0019215377581780363,0.0019215377581780363,156.63177938974928,0,0.0,True,2.5189939082273787,False,False,27.75,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M7,7
False,25.1,0.7619325241059574,0.22788025944243231,True,98.78127380327811,3171.469705308755,0.0315015265056897,72.64858974666855,0.013427431134465125,0.28099747624413823,0.0018953921132857637,0.0018953921132857637,156.95941304589576,0,0.0,True,2.5190025237558618,False,False,26.35,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M7,8
False,24.8,0.7446436949856532,0.2199384999835509,True,99.02257721167058,3190.5766339450156,0.031917846239245075,72.65007120382718,0.013428655961985662,0.2809953748766492,0.0018891052577405642,0.0018891052577405642,157.2948238848402,0,0.0,True,2.5190046251233507,False,False,25.650000000000002,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M7,9
